"Level","Role","Label en","Additional Label","Technical Name","Abstract","Type name short","Period type","Balance","Substitution Group","References"
"2","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Reporting period start date","","esrs:ReportingPeriodStartDate","False","date","Duration","-","Item","Name: ESRS; Number: ESRS 1; Paragraph: Appendix C"
"2","[200510] ESRS2.BP-1 General basis for preparation of sustainability statement","Reporting period end date","","esrs:ReportingPeriodEndDate","False","date","Duration","-","Item","Name: ESRS; Number: ESRS 1; Paragraph: Appendix C"
"1","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosures in relation to specific circumstances [text block]","","esrs:DisclosuresInRelationToSpecificCircumstancesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 6; Section: BP-2"
"2","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Other medium- or long-term time horizons than defined in ESRS 1 [abstract]","","esrs:OtherMediumOrLongtermTimeHorizonsThanDefinedInESRS1Abstract","True","string","Duration","-","Item",""
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Other medium-term time horizon (in years) counted from reporting period","","esrs:OtherMediumtermTimeHorizonInYearsCountedFromReportingPeriod","False","integer","Duration","-","Item","Name: ESRS; Number: ESRS 1; Paragraph: 80, Name: ESRS; Number: ESRS 2; Paragraph: 9; Subparagraph: a; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Other long-term time horizon (in years) counted from reporting period","","esrs:OtherLongtermTimeHorizonInYearsCountedFromReportingPeriod","False","integer","Duration","-","Item","Name: ESRS; Number: ESRS 1; Paragraph: 80, Name: ESRS; Number: ESRS 2; Paragraph: 9; Subparagraph: a; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of reasons for applying different definitions of time horizons [text block]","","esrs:DisclosureOfReasonsForApplyingDifferentDefinitionsOfTimeHorizonsExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 9; Subparagraph: b; Section: BP-2"
"2","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Metrics value chain data estimated using indirect sources [abstract]","","esrs:MetricsValueChainDataEstimatedUsingIndirectSourcesAbstract","True","string","Duration","-","Item",""
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","ESRS metric(s) for which upstream and (or) downstream value chain estimation has been used","","esrs:ESRSMetricsForWhichUpstreamAndOrDownstreamValueChainEstimationHasBeenUsed","False","enumerationSet","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 10; Subparagraph: a; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of basis for preparation of metrics that include upstream and (or) downstream value chain data estimated using indirect sources [text block]","","esrs:DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 10; Subparagraph: b; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of resulting level of accuracy of metrics that include upstream and (or) downstream value chain data estimated using indirect sources [text block]","","esrs:DescriptionOfResultingLevelOfAccuracyOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 10; Subparagraph: c; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of planned actions to improve accuracy in future of metrics that include upstream and (or) downstream value chain data estimated using indirect sources [text block]","","esrs:DescriptionOfPlannedActionsToImproveAccuracyInFutureOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 10; Subparagraph: d; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Value chain estimation [abstract]","","esrs:ValueChainEstimationAbstract","True","string","Duration","-","Item",""
"4","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Value chain estimation [table]","","esrs:ValueChainEstimationTable","True","string","Duration","-","HypercubeItem",""
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Name of metric(s) [typed axis]","","esrs:NameOfMetricsTypedAxis","True","string","Duration","-","DimensionItem",""
"4","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Value chain estimation [line items]","","esrs:ValueChainEstimationLineItems","True","string","Duration","-","Item",""
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of basis for preparation of metrics that include upstream and (or) downstream value chain data estimated using indirect sources [text block]","","esrs:DescriptionOfBasisForPreparationOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 10; Subparagraph: b; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of resulting level of accuracy of metrics that include upstream and (or) downstream value chain data estimated using indirect sources [text block]","","esrs:DescriptionOfResultingLevelOfAccuracyOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 10; Subparagraph: c; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of planned actions to improve accuracy in future of metrics that include upstream and (or) downstream value chain data estimated using indirect sources [text block]","","esrs:DescriptionOfPlannedActionsToImproveAccuracyInFutureOfMetricsThatIncludeUpstreamAndOrDownstreamValueChainDataEstimatedUsingIndirectSourcesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 10; Subparagraph: d; Section: BP-2"
"2","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Significant estimation and (or) outcome uncertainty [abstract]","","esrs:SignificantEstimationAndOrOutcomeUncertaintyAbstract","True","string","Duration","-","Item",""
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","ESRS metric(s) disclosed that are subject to high level of measurement uncertainty","","esrs:ESRSMetricsDisclosedThatAreSubjectToHighLevelOfMeasurementUncertainty","False","enumerationSet","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 11; Subparagraph: a; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of sources of measurement uncertainty [text block]","","esrs:DisclosureOfSourcesOfMeasurementUncertaintyExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 11; Subparagraph: b; Clause: i; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of assumptions, approximations and judgements made in metric measurement [text block]","","esrs:DisclosureOfAssumptionsApproximationsAndJudgementsMadeInMetricMeasurementExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 12; Section: BP-2, Name: ESRS; Number: ESRS 2; Paragraph: 11; Subparagraph: b; Clause: ii; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Sources of estimation and outcome uncertainty [abstract]","","esrs:SourcesOfEstimationAndOutcomeUncertaintyAbstract","True","string","Duration","-","Item",""
"4","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Sources of estimation and outcome uncertainty [table]","","esrs:SourcesOfEstimationAndOutcomeUncertaintyTable","True","string","Duration","-","HypercubeItem",""
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Name of metric(s) [typed axis]","","esrs:NameOfMetricsTypedAxis","True","string","Duration","-","DimensionItem",""
"4","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Sources of estimation and outcome uncertainty [line items]","","esrs:SourcesOfEstimationAndOutcomeUncertaintyLineItems","True","string","Duration","-","Item",""
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of sources of measurement uncertainty [text block]","","esrs:DisclosureOfSourcesOfMeasurementUncertaintyExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 11; Subparagraph: b; Clause: i; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of assumptions, approximations and judgements made in metric measurement [text block]","","esrs:DisclosureOfAssumptionsApproximationsAndJudgementsMadeInMetricMeasurementExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 12; Section: BP-2, Name: ESRS; Number: ESRS 2; Paragraph: 11; Subparagraph: b; Clause: ii; Section: BP-2"
"2","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Changes in preparation and presentation of sustainability information compared to previous reporting period [abstract]","","esrs:ChangesInPreparationAndPresentationOfSustainabilityInformationComparedToPreviousReportingPeriodAbstract","True","string","Duration","-","Item",""
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Explanation of changes in preparation and presentation of sustainability information and reasons for them [text block]","","esrs:ExplanationOfChangesInPreparationAndPresentationOfSustainabilityInformationAndReasonsForThemExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 13; Subparagraph: a; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Adjustment of comparative information for one or more prior periods is impracticable","","esrs:AdjustmentOfComparativeInformationForOneOrMorePriorPeriodsIsImpracticable","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 13; Subparagraph: b; Section: BP-2"
"2","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Material errors in prior period [abstract]","","esrs:MaterialErrorsInPriorPeriodAbstract","True","string","Duration","-","Item",""
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of nature of prior period material errors [text block]","","esrs:DisclosureOfNatureOfPriorPeriodMaterialErrorsExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 14; Subparagraph: a; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of why correction of prior period errors is not practicable [text block]","","esrs:DisclosureOfWhyCorrectionOfPriorPeriodErrorsIsNotPracticableExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 14; Subparagraph: c; Section: BP-2"
"2","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Information stemming from other legislation or from generally accepted sustainability reporting standards and frameworks included in sustainability statement [abstract]","","esrs:InformationStemmingFromOtherLegislationOrFromGenerallyAcceptedSustainabilityReportingStandardsAndFrameworksIncludedInSustainabilityStatementAbstract","True","string","Duration","-","Item",""
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of other legislation or generally accepted sustainability reporting standards and frameworks based on which information has been included in sustainability statement [text block]","","esrs:DisclosureOfOtherLegislationOrGenerallyAcceptedSustainabilityReportingStandardsAndFrameworksBasedOnWhichInformationHasBeenIncludedInSustainabilityStatementExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 15; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","European standards approved by European Standardisation System (ISO/IEC or CEN/CENELEC standards) have been relied on","","esrs:EuropeanStandardsApprovedByEuropeanStandardisationSystemIsoNOIecOrCenNOCenelecStandardsHaveBeenReliedOn","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: AR 2; Section: BP-2"
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of extent to which data and processes that are used for sustainability reporting purposes have been verified by external assurance provider and found to conform to corresponding ISO/IEC or CEN/CENELEC standard [text block]","","esrs:DisclosureOfExtentToWhichDataAndProcessesThatAreUsedForSustainabilityReportingPurposesHaveBeenVerifiedByExternalAssuranceProviderAndFoundToConformToCorrespondingIsoNOIecOrCenNOCenelecStandardExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: AR 2; Section: BP-2"
"2","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Option to omit information required by ESRS E4, ESRS S1, ESRS S2, ESRS S3 or ESRS S4 in accordance with Appendix C of ESRS 1 [abstract]","","esrs:OptionToOmitInformationRequiredByESRSE4ESRSS1ESRSS2ESRSS3OrESRSS4InAccordanceWithAppendixCOfESRS1Abstract","True","string","Duration","-","Item",""
"3","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Use of phase-in provisions [abstract]","","esrs:UseOfPhaseinProvisionsAbstract","True","string","Duration","-","Item",""
"4","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Use of phase-in provisions [table]","","esrs:UseOfPhaseinProvisionsTable","True","string","Duration","-","HypercubeItem",""
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Topical ESRS [axis]","","esrs:TopicalESRSAxis","True","string","Duration","-","DimensionItem",""
"6","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","All topics / topic unspecified / NA [member]","","esrs:TopicTopicUnspecifiedMember","True","domain","Duration","-","Item",""
"7","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","ESRS E4 Biodiversity and ecosystems [member]","","esrs:ESRSE4BiodiversityAndEcosystemsMember","True","domain","Duration","-","Item",""
"7","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","ESRS S1 Own workforce [member]","","esrs:ESRSS1OwnWorkforceMember","True","domain","Duration","-","Item",""
"7","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","ESRS S2 Workers in value chain [member]","","esrs:ESRSS2WorkersInValueChainMember","True","domain","Duration","-","Item",""
"7","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","ESRS S3 Affected communities [member]","","esrs:ESRSS3AffectedCommunitiesMember","True","domain","Duration","-","Item",""
"7","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","ESRS S4 Consumers and end-users [member]","","esrs:ESRSS4ConsumersAndEndusersMember","True","domain","Duration","-","Item",""
"4","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Use of phase-in provisions [line items]","","esrs:UseOfPhaseinProvisionsLineItems","True","string","Duration","-","Item",""
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Topic has been assessed to be material (phase-in)","","esrs:TopicHasBeenAssessedToBeMaterialPhasein","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","List of sustainability matters assessed to be material (phase-in)","","esrs:ListOfSustainabilityMattersAssessedToBeMaterialPhasein","False","enumerationSet","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Subparagraph: a; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in) [text block]","","esrs:DisclosureOfHowBusinessModelAndStrategyTakeAccountOfImpactsRelatedToSustainabilityMattersAssessedToBeMaterialPhaseinExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Subparagraph: a; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets [text block]","","esrs:DescriptionOfAnyTimeboundTargetsSetRelatedToSustainabilityMattersAssessedToBeMaterialPhaseinAndProgressMadeTowardsAchievingThoseTargetsExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Subparagraph: b; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Targets related to biodiversity and ecosystems are based on conclusive scientific evidence","","esrs:TargetsRelatedToBiodiversityAndEcosystemsAreBasedOnConclusiveScientificEvidence","False","boolean","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Subparagraph: b; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of policies related to sustainability matters assessed to be material (phase-in) [text block]","","esrs:DescriptionOfPoliciesRelatedToSustainabilityMattersAssessedToBeMaterialPhaseinExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Subparagraph: c; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions [text block]","","esrs:DescriptionOfActionsTakenToIdentifyMonitorPreventMitigateRemediateOrBringEndToActualOrPotentialAdverseImpactsRelatedToSustainabilityMattersAssessedToBeMaterialPhaseinAndResultOfSuchActionsExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Subparagraph: d; Section: BP-2"
"5","[200520] ESRS2.BP-2 Disclosures in relation to specific circumstances","Disclosure of metrics related to sustainability matters assessed to be material (phase-in) [text block]","","esrs:DisclosureOfMetricsRelatedToSustainabilityMattersAssessedToBeMaterialPhaseinExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 17; Subparagraph: e; Section: BP-2"
"1","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Disclosure of composition of administrative, management and supervisory bodies, their roles and responsibilities and access to expertise and skills with regard to sustainability matters [text block]","","esrs:DisclosureOfCompositionOfAdministrativeManagementAndSupervisoryBodiesTheirRolesAndResponsibilitiesAndAccessToExpertiseAndSkillsWithRegardToSustainabilityMattersExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 19; Section: GOV-1"
"2","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Information about composition and diversity of members of administrative, management and supervisory bodies [text block]","","esrs:InformationAboutCompositionAndDiversityOfMembersOfAdministrativeManagementAndSupervisoryBodiesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 21; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Number of executive members","","esrs:NumberOfExecutiveMembers","False","integer","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: a; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Number of non-executive members","","esrs:NumberOfNonexecutiveMembers","False","integer","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: a; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Information about representation of employees and other workers [text block]","","esrs:InformationAboutRepresentationOfEmployeesAndOtherWorkersExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: b; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Information about member's experience relevant to sectors, products and geographic locations of undertaking [text block]","","esrs:InformationAboutMembersExperienceRelevantToSectorsProductsAndGeographicLocationsOfUndertakingExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: c; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies by gender [abstract]","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByGenderAbstract","True","string","Duration","-","Item",""
"4","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies by gender [table]","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByGenderTable","True","string","Duration","-","HypercubeItem",""
"5","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Gender [axis]","","esrs:GenderAxis","True","string","Duration","-","DimensionItem",""
"6","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Total / all genders / NA [member]","","esrs:GenderMember","True","domain","Duration","-","Item",""
"7","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Female [member]","","esrs:FemaleMember","True","domain","Duration","-","Item",""
"7","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Male [member]","","esrs:MaleMember","True","domain","Duration","-","Item",""
"7","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Other than female and male [member]","","esrs:OtherThanFemaleAndMaleMember","True","domain","Duration","-","Item",""
"7","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Gender not reported [member]","","esrs:GenderNotReportedMember","True","domain","Duration","-","Item",""
"4","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies by gender [line items]","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByGenderLineItems","True","string","Duration","-","Item",""
"5","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodies","False","percent","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: d; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies by other aspects of diversity [abstract]","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByOtherAspectsOfDiversityAbstract","True","string","Duration","-","Item",""
"4","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies by other aspects of diversity [table]","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByOtherAspectsOfDiversityTable","True","string","Duration","-","HypercubeItem",""
"5","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Name of other than gender aspect of diversity [typed axis]","","esrs:NameOfOtherThanGenderAspectOfDiversityTypedAxis","True","string","Duration","-","DimensionItem",""
"4","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies by other aspects of diversity [line items]","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByOtherAspectsOfDiversityLineItems","True","string","Duration","-","Item",""
"5","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of members of administrative, management and supervisory bodies","","esrs:PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodies","False","percent","Duration","-","Item","Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: d; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Board's gender diversity ratio","","esrs:BoardsGenderDiversityRatio","False","percent","Duration","-","Item","Name: Commission Delegated Regulation (EU); Number: 2022/1288; Clause: Indicator 13 Board gender diversity; Section: Annex 1; Subsection: Table 1, Name: Commission Delegated Regulation (EU); Number: 2020/1816; Clause: Indicator Weighted average ratio of female to male board members; Section: Annex 2; Subsection: Section 1 and 2, Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: d; Section: GOV-1"
"3","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Percentage of independent board members","","esrs:PercentageOfIndependentBoardMembers","False","percent","Duration","-","Item","Name: Commission Delegated Regulation (EU); Number: 2020/1816; Clause: Indicator Weighted average percentage of board members who are independent; Section: Annex 2; Subsection: Section 1, Name: ESRS; Number: ESRS 2; Paragraph: 21; Subparagraph: e; Section: GOV-1"
"2","[200610] ESRS2.GOV-1 Role of administrative, management and supervisory bodies","Information about roles and responsibilities of administrative, management and supervisory bodies [text block]","","esrs:InformationAboutRolesAndResponsibilitiesOfAdministrativeManagementAndSupervisoryBodiesExplanatory","False","textBlock","Duration","-","Item","Name: ESRS; Number: G1; Paragraph: 5; Section: GOV-1, Name: ESRS; Number: ESRS 2; Paragraph: 22; Section: GOV-1"
